ID;Módulo;Rol/Actor;Requisito;Descripción;Prioridad;Estado;Plataforma
BG-001;Autenticación y Seguridad;Todos los usuarios;Inicio de sesión seguro (Login);"Permitir a los usuarios iniciar sesión mediante su correo electrónico y contraseña, devolviendo un token JWT para la autorización de solicitudes.";Alta;Completado;API / Web / Móvil
BG-002;Autenticación y Seguridad;Todos los usuarios;Recuperación de contraseña por correo;Permitir a los usuarios solicitar un restablecimiento de contraseña enviando un enlace temporal o código a su correo electrónico registrado.;Alta;Completado;API / Web / Móvil
BG-003;Autenticación y Seguridad;Todos los usuarios;Cierre de sesión automático por inactividad;Implementar un watcher de inactividad de sesión en el frontend para cerrar la sesión del usuario si no hay interacción en un período de tiempo definido.;Media;Completado;Web
BG-004;Autenticación y Seguridad;Administrador / Cliente;Verificación de edad;Mostrar una ventana modal al entrar al sitio web para confirmar que el usuario es mayor de edad (+18) antes de permitir el acceso al catálogo y compras.;Alta;Completado;Web / Móvil
BG-005;Gestión de Roles y Permisos;Administrador;CRUD de Roles;"Permitir crear, leer, actualizar y desactivar roles en el sistema (por ejemplo: Administrador, Empleado, Cliente, Domiciliario).";Alta;Completado;API / Web
BG-006;Gestión de Roles y Permisos;Administrador;Asignación de permisos por módulo;"Permitir habilitar o deshabilitar accesos/permisos específicos por módulo para cada rol (por ejemplo, acceso a Ventas, Compras, Producción).";Alta;Completado;API / Web
BG-007;Gestión de Usuarios;Administrador;CRUD de Usuarios;"Permitir la creación de nuevos usuarios (administradores o empleados), asignándoles un rol específico y gestionando su estado (Activo/Inactivo).";Alta;Completado;API / Web
BG-008;Gestión de Usuarios;Cliente;Registro de clientes externos;Permitir que los clientes se registren desde el portal web o la aplicación móvil para poder realizar pedidos y gestionar su perfil.;Alta;Completado;API / Web / Móvil
BG-009;Categorías y Productos;Administrador / Empleado;Gestión de Categorías de Productos;"Permitir clasificar los licores en diferentes categorías (aguardiente, ron, vino, etc.) mediante un CRUD de categorías.";Media;Completado;API / Web
BG-010;Categorías y Productos;Administrador / Empleado;CRUD de Productos (Licores);"Permitir registrar nuevos licores con nombre, descripción, precio de venta, categoría, stock actual y asociarle una imagen descriptiva.";Alta;Completado;API / Web
BG-011;Categorías y Productos;Administrador;Carga de imágenes a la nube;Integrar servicio de almacenamiento (como AWS S3 o almacenamiento local) para subir y alojar de forma segura las imágenes de los licores.;Media;Completado;API / Web
BG-012;Proveedores y Compras;Administrador / Empleado;Gestión de Proveedores;Permitir registrar la información de contacto de los proveedores de materias primas/insumos o licores listos.;Media;Completado;API / Web
BG-013;Proveedores y Compras;Administrador / Empleado;Registro de Compras;"Permitir registrar facturas de compras de insumos o licores a proveedores, actualizando automáticamente los costos y el stock correspondiente.";Alta;Completado;API / Web
BG-014;Insumos y Producción;Administrador / Empleado;Gestión de Insumos (Materia Prima);"Permitir registrar insumos básicos (botellas, alcohol, esencias, etiquetas) con su stock y unidad de medida.";Alta;Completado;API / Web
BG-015;Insumos y Producción;Administrador / Empleado;Ficha Técnica de Producto;Permitir asociar a cada licor los insumos requeridos para su elaboración y la cantidad exacta de cada uno de ellos.;Alta;Completado;API / Web
BG-016;Insumos y Producción;Administrador / Empleado;Registro de Producción;"Permitir registrar órdenes de producción de licores. Al procesarse, el sistema debe descontar automáticamente los insumos de la ficha técnica del inventario y sumar las botellas producidas al stock del producto.";Alta;Completado;API / Web
BG-017;Insumos y Producción;Administrador / Empleado;Entrega de Insumos a Productores;Registrar la entrega física de insumos a los encargados del proceso de producción para llevar la trazabilidad del material entregado.;Media;Completado;API / Web
BG-018;Clientes y Ventas;Administrador / Empleado;Gestión de Clientes;"Registrar y actualizar la información de los clientes (nombre, teléfono, dirección, tipo de documento) para la facturación.";Alta;Completado;API / Web
BG-019;Clientes y Ventas;Administrador / Empleado;Registro de Ventas Directas;"Permitir realizar una venta rápida directamente en el mostrador seleccionando los productos, cantidades y el método de pago (Efectivo/Transferencia).";Alta;Completado;API / Web
BG-020;Clientes y Ventas;Administrador / Empleado;Facturación y Cálculo de Totales;"Calcular automáticamente subtotales, IVA, descuentos y el valor total a pagar en cada orden de venta.";Alta;Completado;API / Web / Móvil
BG-021;Abonos y Cuentas por Cobrar;Administrador / Empleado;Control de Cuentas por Cobrar (Ventas a Crédito);Permitir realizar ventas a crédito y registrar el saldo pendiente acumulado en la cuenta del cliente.;Alta;Completado;API / Web
BG-022;Abonos y Cuentas por Cobrar;Administrador / Empleado;Registro de Abonos;"Permitir que un cliente realice abonos parciales o totales a su deuda, registrando el valor abonado y recalculando el saldo pendiente de forma inmediata.";Alta;Completado;API / Web / Móvil
BG-023;Pedidos y Carrito de Compras;Cliente;Catálogo Online Interactivo;"Permitir a los clientes visualizar los productos disponibles con sus precios, imágenes y detalles desde el portal web o la app móvil.";Alta;Completado;Web / Móvil
BG-024;Pedidos y Carrito de Compras;Cliente;Gestión de Carrito de Compras;"Permitir agregar, modificar cantidades y eliminar productos en un carrito de compras temporal antes de proceder al pago.";Alta;Completado;Web / Móvil
BG-025;Pedidos y Carrito de Compras;Cliente;Confirmación de Pedidos y Adjunto de Comprobante;Permitir finalizar el pedido adjuntando una foto o imagen del comprobante de transferencia bancaria si se elige este método de pago.;Alta;Completado;Web / Móvil
BG-026;Pedidos y Carrito de Compras;Administrador / Empleado;Gestión de Pedidos Recibidos;"Visualizar el listado de pedidos realizados por los clientes, revisar los detalles y el comprobante de pago para aprobarlos o rechazarlos.";Alta;Completado;API / Web / Móvil
BG-027;Pedidos y Carrito de Compras;Administrador / Empleado;Estados de Pedido;"Permitir cambiar el estado del pedido (Pendiente, En preparación, Listo, Enviado, Entregado, Cancelado) notificando o actualizando al usuario en tiempo real.";Alta;Completado;API / Web / Móvil
BG-028;Domicilios y Entregas;Administrador / Empleado;Asignación de Domiciliario;Permitir asignar un repartidor o domiciliario específico a un pedido listo para entrega.;Alta;Completado;API / Web / Móvil
BG-029;Domicilios y Entregas;Domiciliario / Empleado;Control de Entrega del Domicilio;Permitir al domiciliario actualizar el estado de la entrega a 'Entregado' o registrar novedades de entrega no exitosa.;Alta;Completado;API / Web / Móvil
BG-030;Dashboard y Reportes;Administrador;Métricas Clave del Negocio;"Visualizar en tiempo real el total de ventas, el total de compras, la cantidad de pedidos y los productos más vendidos del mes.";Media;Completado;API / Web
BG-031;Dashboard y Reportes;Administrador;Gráficas de Rendimiento;Mostrar gráficos interactivos que comparen las ventas vs compras mensuales y muestren la distribución de métodos de pago.;Baja;Completado;Web
BG-032;Notificaciones;Cliente / Administrador;Notificación de Pedidos por Email;"Enviar un correo electrónico de confirmación automático al cliente cuando se recibe, aprueba o envía su pedido.";Media;Completado;API
